camera,sample_index,ros_time_sec,camera_frame_id,base_frame_id,marker_id,camera_x,camera_y,camera_z,camera_qx,camera_qy,camera_qz,camera_qw,base_x,base_y,base_z,base_qx,base_qy,base_qz,base_qw
front,29,0.0,camera_front_optical_link,base_link,10,-0.06280389100413626,-0.006665169882122149,0.2292136914505343,0.8934203016621097,-0.01841993359530644,0.04839356950183574,0.4462274454302429,0.43806195024437833,0.0628030490547214,0.1727698678488535,0.3706725167298361,-0.3558705908665376,-0.5696947120515914,0.6414093411838694
front,29,0.0,camera_front_optical_link,base_link,14,0.13608654997604286,-0.005019014767510384,0.2652540064436917,0.9035902015124455,0.01048829997202044,-0.007295629581154405,0.42820732955358176,0.47142065623328155,-0.1360875243075627,0.18650879819751148,0.3796657687221318,-0.3726999867302303,-0.6070061714516302,0.5903322215257719
rear,35,0.0,camera_rear_optical_link,base_link,3,0.03710276738668696,0.011754056242583378,0.22394721508859144,0.007840148184714105,0.874072712323716,-0.4853946981829856,-0.018094546784949116,-0.03514285118061006,0.03710359003252906,0.17515758305835238,0.7078841535664412,-0.7034838848878823,-0.02883956697970516,0.05638021114716643
rear,35,0.0,camera_rear_optical_link,base_link,5,-0.05326903595423651,0.013982930214716735,0.22855968346030864,0.02592739867589357,0.8753677531984732,-0.4810409175734768,0.04072716879707959,-0.03190421064392934,-0.0532681963572712,0.17912709372652966,0.6738677937264798,-0.735736802594079,-0.060135639263164176,0.031261138451088695
front,30,0.0,camera_front_optical_link,base_link,12,0.0300192402195786,-0.0053123052221472475,0.2208453073640482,0.887703031390115,0.0006584778142753435,-0.003160451625170604,0.46040515419931344,0.43104903589439425,-0.03002005142955787,0.16800700799501223,0.3536672217342195,-0.35528355995101213,-0.613971187016802,0.6096986713225745
front,30,0.0,camera_front_optical_link,base_link,10,-0.06296777547618548,-0.006671809503342366,0.22984151633976516,0.8941251630845897,-0.017112295838744965,0.04463276983498139,0.4452586640672373,0.4386281484324247,0.06296693122063984,0.17304121365006203,0.3708119303776432,-0.3573080200795671,-0.5721243833956239,0.6383597582872871
rear,36,0.0,camera_rear_optical_link,base_link,3,0.037089490338859665,0.011840669279989302,0.224249281134869,0.008517362924123308,0.8730795448893711,-0.48708915404975467,-0.020092755701539677,-0.03490569127053428,0.037090314094562156,0.1753637405735814,0.7082909335593199,-0.7031800537419318,-0.02600275473215844,0.05644131645789488
rear,36,0.0,camera_rear_optical_link,base_link,5,-0.05317646442826223,0.0143107142863631,0.2288821124612999,0.026449715421684918,0.8754518441389064,-0.4811961509597699,0.03653416824565761,-0.03175052002829204,-0.05317562364577744,0.1795604317394921,0.6752584580014593,-0.7345643829934406,-0.05737599235591288,0.03389952265345055
rear,36,0.0,camera_rear_optical_link,base_link,7,-0.15186810421126629,0.022771112563024217,0.2614137446415486,-0.2055686785911928,0.8047352457831513,0.3307215501127867,0.44806914518587165,-0.005842110834633929,-0.151867143902501,0.2009768590054869,0.30663016622721134,-0.40190772851370093,-0.8482875597300604,0.1576589195943214
front,31,0.0,camera_front_optical_link,base_link,12,0.030075236879512666,-0.00523682390269413,0.22163381791906495,0.8902650247541912,0.0015444339986597645,0.00038490847014381336,0.45544006440860335,0.43179556980382594,-0.030076050985851532,0.1682718345847772,0.3589568325148851,-0.35682250206272936,-0.6102058132933744,0.6094887692448031
