wall_time,ros_time_sec,run_id,elapsed_sec,event_type,source,label,data
2026-06-19_13-49-51-351361,1781869791.351413,20260619_134844,67.076,physical_status,physical_alignment,status,drive_straight_under_started
2026-06-19_13-50-00-775206,1781869800.775297,20260619_134844,76.500,physical_status,physical_alignment,under_trolley,drive_straight_under_done
2026-06-19_13-50-00-779925,1781869800.780014,20260619_134844,76.505,dropzone_status,dropzone,under_trolley,"under_trolley. Inspect position, then approve final ArUco alignment with: ros2 topic pub --once /trolley_command std_msgs/msg/String ""{data: 'fine_align'}"""
2026-06-19_13-50-08-739386,1781869808.739474,20260619_134844,84.464,command,trolley_command,fine_align,fine_align
2026-06-19_13-50-08-741222,1781869808.741285,20260619_134844,84.466,dropzone_status,dropzone,status,fine_aligning via fine_align_under. Waiting for fine_align_under_done.
2026-06-19_13-50-08-742852,1781869808.742898,20260619_134844,84.468,physical_status,physical_alignment,status,front_rear_camera_switch_started
2026-06-19_13-50-10-273862,1781869810.273949,20260619_134844,85.999,physical_status,physical_alignment,status,fine_align_under_started
2026-06-19_13-50-10-971665,1781869810.971744,20260619_134844,86.696,physical_status,physical_alignment,fine_align_complete,"fine_align_under_done | final ids=[3, 12] center_x=+0.1306 center_y=+0.0009 yaw=-13.02deg orientation=normal error_x=-0.0019 error_y=-0.0053 yaw_error=-2.02deg target_x=+0.1325 target_y=+0.0062 tolerance_x=0.0040 tolerance_y=0.0100 tolerance_yaw=3.00deg"
2026-06-19_13-50-10-973548,1781869810.973596,20260619_134844,86.698,dropzone_status,dropzone,fine_align_complete,"fine_align_complete: fine_align_under_done | final ids=[3, 12] center_x=+0.1306 center_y=+0.0009 yaw=-13.02deg orientation=normal error_x=-0.0019 error_y=-0.0053 yaw_error=-2.02deg target_x=+0.1325 target_y=+0.0062 tolerance_x=0.0040 tolerance_y=0.0100 tolerance_yaw=3.00deg. Remembered trash_trolley; approve delivery with ros2 topic pub --once /trolley_command std_msgs/msg/String ""{data: 'deliver_trolley'}"""
2026-06-19_13-50-44-904193,1781869844.904284,20260619_134844,120.629,manual_mark,operator,docking sucessfull,
2026-06-19_13-50-55-117266,1781869855.117356,20260619_134844,130.842,command,trolley_command,deliver_trolley,deliver_trolley
2026-06-19_13-50-55-325800,1781869855.325875,20260619_134844,131.051,dropzone_status,dropzone,dropoff_goal_sent,"dropoff_goal_sent: remembered trash_trolley -> trash_dropoff. When the robot arrives, approve trolley release with: ros2 topic pub --once /trolley_command std_msgs/msg/String ""{data: 'drive_out'}"""
2026-06-19_13-51-22-648237,1781869882.648361,20260619_134844,158.373,command,trolley_command,drive_out,drive_out
2026-06-19_13-51-22-651480,1781869882.651643,20260619_134844,158.376,dropzone_status,dropzone,status,drive_out_active for 7.0s. Publishing direct cmd_vel to release trolley.
2026-06-19_13-51-29-653701,1781869889.653830,20260619_134844,165.378,dropzone_status,dropzone,drive_out_done,drive_out_done. Released trash_trolley; cleared trolley type. Next command: trolley_ready.
2026-06-19_13-51-29-654365,1781869889.654408,20260619_134844,165.379,run_end,logger,drive_out_done,
2026-06-19_13-53-13-933669,1781869993.933698,20260619_135313,0.000,run_start,logger,command_trolley_ready,
2026-06-19_13-53-13-935286,1781869993.935328,20260619_135313,0.002,command,trolley_command,trolley_ready,trolley_ready
2026-06-19_13-53-13-942016,1781869993.944962,20260619_135313,0.011,dropzone_status,dropzone,approach_goal_sent,"approach_goal_sent. Inspect the robot pose, then approve side alignment with: ros2 topic pub --once /trolley_command std_msgs/msg/String ""{data: 'side_align'}"""
