camera,sample_index,ros_time_sec,frame_id,marker_id,x,y,z,qx,qy,qz,qw
left,9,1780494976.7851853,camera_left_optical_link,25,-0.11623710264878884,0.06580587622605615,0.27378987136045735,-0.014085208282635594,0.995844490340022,0.0899395030711251,-0.0024987505629307676
left,9,1780494976.7851853,camera_left_optical_link,23,0.19603874186297576,0.06551697277505741,0.28382857942998113,0.009137045159158762,0.9948422937532856,0.08681771878701534,0.05165277020721897
left,10,1780494976.8848999,camera_left_optical_link,24,0.03781999396517986,0.06314023684422554,0.2643764548724498,-0.0010112962306005069,0.9948097155613522,0.10125480616912372,0.010003565980623524
left,10,1780494976.8848999,camera_left_optical_link,25,-0.11677322090837125,0.06620940423826824,0.27508721859501545,-0.01361140368794593,0.9958055724456567,0.0904224503934102,0.0031260263391555626
left,10,1780494976.8848999,camera_left_optical_link,23,0.19603874186297576,0.06551697277505741,0.28382857942998113,0.009137045159158762,0.9948422937532856,0.08681771878701534,0.05165277020721897
left,11,1780494976.9858718,camera_left_optical_link,24,0.03781999396517986,0.06314023684422554,0.2643764548724498,-0.0010112962306005069,0.9948097155613522,0.10125480616912372,0.010003565980623524
left,11,1780494976.9858718,camera_left_optical_link,25,-0.11607065008201249,0.06589619742954105,0.27350565919384173,-0.00844300510078951,0.9966371283935205,0.07910007489191202,-0.019655231478651943
left,11,1780494976.9858718,camera_left_optical_link,23,0.1963312545388522,0.06558244051262377,0.2841241113340355,0.010416395240653633,0.9951353136803197,0.0854959729977493,0.047829329680965225
left,12,1780494977.0849113,camera_left_optical_link,24,0.03787992814421103,0.06318768713159957,0.2649216535009011,-0.001209734577503633,0.9945203660429214,0.10447961411023365,0.0034334098914147963
left,12,1780494977.0849113,camera_left_optical_link,25,-0.11615306798301377,0.06588078004237678,0.27377338969223475,-0.00970553274527493,0.9963699869785161,0.08419809099462112,-0.007958213079803829
left,12,1780494977.0849113,camera_left_optical_link,23,0.19603874186297576,0.06551697277505741,0.28382857942998113,0.009137045159158762,0.9948422937532856,0.08681771878701534,0.05165277020721897
left,13,1780494977.1858647,camera_left_optical_link,24,0.03781999396517986,0.06314023684422554,0.2643764548724498,-0.0010112962306005069,0.9948097155613522,0.10125480616912372,0.010003565980623524
left,13,1780494977.1858647,camera_left_optical_link,25,-0.11615306798301377,0.06588078004237678,0.27377338969223475,-0.00970553274527493,0.9963699869785161,0.08419809099462112,-0.007958213079803829
left,13,1780494977.1858647,camera_left_optical_link,23,0.1963312545388522,0.06558244051262377,0.2841241113340355,0.010416395240653633,0.9951353136803197,0.0854959729977493,0.047829329680965225
left,14,1780494977.2849114,camera_left_optical_link,24,0.03781999396517986,0.06314023684422554,0.2643764548724498,-0.0010112962306005069,0.9948097155613522,0.10125480616912372,0.010003565980623524
left,14,1780494977.2849114,camera_left_optical_link,25,-0.11615306798301377,0.06588078004237678,0.27377338969223475,-0.00970553274527493,0.9963699869785161,0.08419809099462112,-0.007958213079803829
left,14,1780494977.2849114,camera_left_optical_link,23,0.1963312545388522,0.06558244051262377,0.2841241113340355,0.010416395240653633,0.9951353136803197,0.0854959729977493,0.047829329680965225
left,15,1780494977.3858054,camera_left_optical_link,24,0.03781999396517986,0.06314023684422554,0.2643764548724498,-0.0010112962306005069,0.9948097155613522,0.10125480616912372,0.010003565980623524
left,15,1780494977.3858054,camera_left_optical_link,25,-0.11684503268883585,0.06626703361609093,0.2749966388152502,-0.014148437487684924,0.9963045059288623,0.08466731169133358,-0.0029324927050704357
left,15,1780494977.3858054,camera_left_optical_link,23,0.19603874186297576,0.06551697277505741,0.28382857942998113,0.009137045159158762,0.9948422937532856,0.08681771878701534,0.05165277020721897
left,16,1780494977.4848258,camera_left_optical_link,24,0.03781999396517986,0.06314023684422554,0.2643764548724498,-0.0010112962306005069,0.9948097155613522,0.10125480616912372,0.010003565980623524
left,16,1780494977.4848258,camera_left_optical_link,25,-0.11629093394093468,0.06603861676423677,0.2736617324434746,-0.009747685872312522,0.996348828876459,0.08440084761530697,-0.00839587627714969
left,16,1780494977.4848258,camera_left_optical_link,23,0.19603874186297576,0.06551697277505741,0.28382857942998113,0.009137045159158762,0.9948422937532856,0.08681771878701534,0.05165277020721897
left,17,1780494977.5873632,camera_left_optical_link,24,0.03781999396517986,0.06314023684422554,0.2643764548724498,-0.0010112962306005069,0.9948097155613522,0.10125480616912372,0.010003565980623524
left,17,1780494977.5873632,camera_left_optical_link,25,-0.11623710264878884,0.06580587622605615,0.27378987136045735,-0.014085208282635594,0.995844490340022,0.0899395030711251,-0.0024987505629307676
left,17,1780494977.5873632,camera_left_optical_link,23,0.19489666832307564,0.06504047415200702,0.28216307155229126,0.010333006098676916,0.9945864049143851,0.0874523699637423,0.05516516230528377
left,18,1780494977.685337,camera_left_optical_link,24,0.03801873639673319,0.06328889070459016,0.2650298709953643,-0.0031426869745328073,0.99498653137531,0.09863696558463707,0.016207249012853246
left,18,1780494977.685337,camera_left_optical_link,25,-0.11627153618810794,0.06590593911691557,0.27354622079328916,-0.00849265053740465,0.9966399407176652,0.07909488245878728,-0.019511612490236963
left,18,1780494977.685337,camera_left_optical_link,23,0.19489666832307564,0.06504047415200702,0.28216307155229126,0.010333006098676916,0.9945864049143851,0.0874523699637423,0.05516516230528377
left,19,1780494977.7846515,camera_left_optical_link,24,0.03801873639673319,0.06328889070459016,0.2650298709953643,-0.0031426869745328073,0.99498653137531,0.09863696558463707,0.016207249012853246
left,19,1780494977.7846515,camera_left_optical_link,25,-0.11630092800327668,0.06585907061786515,0.2736822914267924,-0.014645537303900452,0.9962975779690948,0.0842911837228401,-0.00846408391960894
left,19,1780494977.7846515,camera_left_optical_link,23,0.19603874186297576,0.06551697277505741,0.28382857942998113,0.009137045159158762,0.9948422937532856,0.08681771878701534,0.05165277020721897
left,20,1780494977.8852205,camera_left_optical_link,24,0.03781999396517986,0.06314023684422554,0.2643764548724498,-0.0010112962306005069,0.9948097155613522,0.10125480616912372,0.010003565980623524
left,20,1780494977.8852205,camera_left_optical_link,25,-0.11630092800327668,0.06585907061786515,0.2736822914267924,-0.014645537303900452,0.9962975779690948,0.0842911837228401,-0.00846408391960894
left,20,1780494977.8852205,camera_left_optical_link,23,0.19603874186297576,0.06551697277505741,0.28382857942998113,0.009137045159158762,0.9948422937532856,0.08681771878701534,0.05165277020721897
left,21,1780494977.985186,camera_left_optical_link,24,0.03781999396517986,0.06314023684422554,0.2643764548724498,-0.0010112962306005069,0.9948097155613522,0.10125480616912372,0.010003565980623524
left,21,1780494977.985186,camera_left_optical_link,25,-0.11627153618810794,0.06590593911691557,0.27354622079328916,-0.00849265053740465,0.9966399407176652,0.07909488245878728,-0.019511612490236963
left,21,1780494977.985186,camera_left_optical_link,23,0.19603874186297576,0.06551697277505741,0.28382857942998113,0.009137045159158762,0.9948422937532856,0.08681771878701534,0.05165277020721897
left,22,1780494978.0849545,camera_left_optical_link,24,0.03781999396517986,0.06314023684422554,0.2643764548724498,-0.0010112962306005069,0.9948097155613522,0.10125480616912372,0.010003565980623524
