wall_time,ros_time_sec,run_id,elapsed_sec,event_type,source,label,data
2026-06-18_10-48-38-291216,1781772518.291236,20260618_104838,0.000,run_start,logger,command_trolley_ready,
2026-06-18_10-48-38-298309,1781772518.298407,20260618_104838,0.007,command,trolley_command,trolley_ready,trolley_ready
2026-06-18_10-48-38-304048,1781772518.304123,20260618_104838,0.013,dropzone_status,dropzone,approach_goal_sent,"approach_goal_sent. Inspect the robot pose, then approve side alignment with: ros2 topic pub --once /trolley_command std_msgs/msg/String ""{data: 'side_align'}"""
2026-06-18_10-48-53-756915,1781772533.756997,20260618_104838,15.466,command,trolley_command,side_align,side_align
2026-06-18_10-48-53-757711,1781772533.757754,20260618_104838,15.467,dropzone_status,dropzone,status,side_aligning via side_align_left. Waiting for side_align_left_done.
2026-06-18_10-48-53-759249,1781772533.759306,20260618_104838,15.468,physical_status,physical_alignment,status,side_align_left_started
2026-06-18_10-49-38-834219,1781772578.834305,20260618_104838,60.543,physical_status,physical_alignment,status,side_align_left_timeout
2026-06-18_10-49-38-836920,1781772578.836978,20260618_104838,60.546,dropzone_status,dropzone,status,side_alignment_stopped: side_align_left_timeout
2026-06-18_10-49-59-587821,1781772599.587902,20260618_104838,81.297,command,trolley_command,side_align,side_align
2026-06-18_10-49-59-591668,1781772599.591734,20260618_104838,81.301,dropzone_status,dropzone,status,side_aligning via side_align_left. Waiting for side_align_left_done.
2026-06-18_10-49-59-593378,1781772599.593423,20260618_104838,81.302,physical_status,physical_alignment,status,side_align_left_started
2026-06-18_10-50-14-136091,1781772614.136171,20260618_104838,95.845,physical_status,physical_alignment,side_align_complete,"side_align_left_done | final camera=left ids=[18, 19, 20] target_pair=[18, 19] target_x=+0.3544 target_y=+0.2864 center_x=+0.4036 center_y=+0.5937 yaw=-179.07deg error_x=-0.0016 yaw_error=+0.93deg tolerance_x=0.0060 tolerance_yaw=2.00deg"
2026-06-18_10-50-14-140918,1781772614.140987,20260618_104838,95.850,dropzone_status,dropzone,side_align_complete,"side_align_complete: side_align_left_done | final camera=left ids=[18, 19, 20] target_pair=[18, 19] target_x=+0.3544 target_y=+0.2864 center_x=+0.4036 center_y=+0.5937 yaw=-179.07deg error_x=-0.0016 yaw_error=+0.93deg tolerance_x=0.0060 tolerance_yaw=2.00deg. Optional: check trolley type with ros2 topic pub --once /trolley_command std_msgs/msg/String ""{data: 'check_trolley_type'}"" or approve straight drive with ros2 topic pub --once /trolley_command std_msgs/msg/String ""{data: 'drive_under'}"""
2026-06-18_10-50-15-124302,1781772615.124380,20260618_104838,96.833,yolo_detection,yolo,laundry_trolley,"{""classes"": [""laundry_trolley""]}"
2026-06-18_10-50-29-619504,1781772629.619588,20260618_104838,111.328,command,trolley_command,check_trolley_type,check_trolley_type
2026-06-18_10-50-29-624433,1781772629.624512,20260618_104838,111.333,dropzone_status,dropzone,trolley_type_checked,trolley_type_checked: laundry_trolley via live_yolov8_topic; remembered target=laundry_dropoff. Next command: drive_under.
2026-06-18_10-50-40-113449,1781772640.113533,20260618_104838,121.822,command,trolley_command,drive_under,drive_under
2026-06-18_10-50-40-114729,1781772640.114771,20260618_104838,121.824,dropzone_status,dropzone,status,drive_under_active via drive_straight_under. Waiting for drive_straight_under_done.
2026-06-18_10-50-40-122460,1781772640.122546,20260618_104838,121.831,physical_status,physical_alignment,status,drive_straight_under_started
2026-06-18_10-50-49-536003,1781772649.536087,20260618_104838,131.245,physical_status,physical_alignment,under_trolley,drive_straight_under_done
2026-06-18_10-50-49-540030,1781772649.540094,20260618_104838,131.249,dropzone_status,dropzone,under_trolley,"under_trolley. Inspect position, then approve final ArUco alignment with: ros2 topic pub --once /trolley_command std_msgs/msg/String ""{data: 'fine_align'}"""
2026-06-18_10-50-58-810366,1781772658.810457,20260618_104838,140.519,command,trolley_command,fine_align,fine_align
2026-06-18_10-50-58-815657,1781772658.815728,20260618_104838,140.525,dropzone_status,dropzone,status,fine_aligning via fine_align_under. Waiting for fine_align_under_done.
2026-06-18_10-50-58-816899,1781772658.816952,20260618_104838,140.526,physical_status,physical_alignment,status,front_rear_camera_switch_started
2026-06-18_10-51-00-335760,1781772660.335846,20260618_104838,142.045,physical_status,physical_alignment,status,fine_align_under_started
2026-06-18_10-51-45-434182,1781772705.434270,20260618_104838,187.143,physical_status,physical_alignment,status,fine_align_under_timeout
2026-06-18_10-51-45-435632,1781772705.435682,20260618_104838,187.145,dropzone_status,dropzone,status,fine_alignment_stopped: fine_align_under_timeout
2026-06-18_10-52-10-633475,1781772730.633552,20260618_104838,212.342,command,trolley_command,fine_align,fine_align
2026-06-18_10-52-10-635296,1781772730.635340,20260618_104838,212.344,dropzone_status,dropzone,status,fine_aligning via fine_align_under. Waiting for fine_align_under_done.
2026-06-18_10-52-10-636449,1781772730.636487,20260618_104838,212.345,physical_status,physical_alignment,status,front_rear_camera_switch_started
2026-06-18_10-52-12-236967,1781772732.237047,20260618_104838,213.946,physical_status,physical_alignment,status,fine_align_under_started
2026-06-18_10-52-20-536343,1781772740.536419,20260618_104838,222.245,physical_status,physical_alignment,fine_align_complete,"fine_align_under_done | final ids=[3, 12] center_x=+0.1407 center_y=+0.0068 yaw=+164.84deg orientation=flipped_180 error_x=+0.0037 error_y=+0.0030 yaw_error=-0.16deg target_x=+0.1370 target_y=+0.0038 tolerance_x=0.0040 tolerance_y=0.0100 tolerance_yaw=3.00deg"
2026-06-18_10-52-20-538774,1781772740.538834,20260618_104838,222.248,dropzone_status,dropzone,fine_align_complete,"fine_align_complete: fine_align_under_done | final ids=[3, 12] center_x=+0.1407 center_y=+0.0068 yaw=+164.84deg orientation=flipped_180 error_x=+0.0037 error_y=+0.0030 yaw_error=-0.16deg target_x=+0.1370 target_y=+0.0038 tolerance_x=0.0040 tolerance_y=0.0100 tolerance_yaw=3.00deg. Remembered laundry_trolley; approve delivery with ros2 topic pub --once /trolley_command std_msgs/msg/String ""{data: 'deliver_trolley'}"""
2026-06-18_10-52-45-840048,1781772765.840127,20260618_104838,247.549,command,trolley_command,deliver_trolley,deliver_trolley
