wall_time_iso,node_time_sec,run_id,run_elapsed_sec,event_type,topic,phase,command,status,camera,frame_id,marker_ids,marker_count,aruco_summary_json,detections_json,detection_count,note
2026-06-16T21:44:01.305,1781639041.305661,,,aruco,/rear/aruco_markers,,,,rear,camera_rear_optical_link,3|5,2,"[{""id"":3,""x"":0.0181,""y"":-0.0169,""z"":0.1699,""yaw_rad"":3.09},{""id"":5,""x"":-0.076,""y"":-0.013,""z"":0.1838,""yaw_rad"":3.0679}]",,,
2026-06-16T21:44:01.341,1781639041.341309,,,aruco,/rear/aruco_markers,,,,rear,camera_rear_optical_link,3|5,2,"[{""id"":3,""x"":0.0181,""y"":-0.0171,""z"":0.17,""yaw_rad"":3.0913},{""id"":5,""x"":-0.0759,""y"":-0.013,""z"":0.1833,""yaw_rad"":3.0693}]",,,
2026-06-16T21:44:01.398,1781639041.398677,,,aruco,/front/aruco_markers,,,,front,camera_front_optical_link,12,1,"[{""id"":12,""x"":-0.0031,""y"":0.0182,""z"":0.1297,""yaw_rad"":-0.0237}]",,,
2026-06-16T21:44:01.417,1781639041.417924,,,aruco,/rear/aruco_markers,,,,rear,camera_rear_optical_link,3|5,2,"[{""id"":3,""x"":0.0181,""y"":-0.017,""z"":0.1698,""yaw_rad"":3.095},{""id"":5,""x"":-0.0757,""y"":-0.0128,""z"":0.1834,""yaw_rad"":3.0686}]",,,
2026-06-16T21:44:01.505,1781639041.505522,,,aruco,/front/aruco_markers,,,,front,camera_front_optical_link,12,1,"[{""id"":12,""x"":-0.0029,""y"":0.0182,""z"":0.1293,""yaw_rad"":-0.0201}]",,,
2026-06-16T21:44:01.518,1781639041.518219,,,aruco,/rear/aruco_markers,,,,rear,camera_rear_optical_link,3|5,2,"[{""id"":3,""x"":0.0182,""y"":-0.0168,""z"":0.1699,""yaw_rad"":3.097},{""id"":5,""x"":-0.0759,""y"":-0.013,""z"":0.1838,""yaw_rad"":3.0659}]",,,
2026-06-16T21:44:01.599,1781639041.599233,,,aruco,/front/aruco_markers,,,,front,camera_front_optical_link,12,1,"[{""id"":12,""x"":-0.0029,""y"":0.0182,""z"":0.1297,""yaw_rad"":-0.0193}]",,,
2026-06-16T21:44:01.623,1781639041.623640,,,aruco,/rear/aruco_markers,,,,rear,camera_rear_optical_link,3|5,2,"[{""id"":3,""x"":0.0182,""y"":-0.017,""z"":0.1703,""yaw_rad"":3.0904},{""id"":5,""x"":-0.0761,""y"":-0.0131,""z"":0.1841,""yaw_rad"":3.0727}]",,,
2026-06-16T21:44:01.718,1781639041.718732,,,aruco,/front/aruco_markers,,,,front,camera_front_optical_link,12,1,"[{""id"":12,""x"":-0.0029,""y"":0.0181,""z"":0.1297,""yaw_rad"":-0.0195}]",,,
2026-06-16T21:44:01.724,1781639041.724539,,,aruco,/rear/aruco_markers,,,,rear,camera_rear_optical_link,3|5,2,"[{""id"":3,""x"":0.0181,""y"":-0.017,""z"":0.1696,""yaw_rad"":3.0891},{""id"":5,""x"":-0.076,""y"":-0.013,""z"":0.1839,""yaw_rad"":3.0696}]",,,
2026-06-16T21:44:01.798,1781639041.798875,,,aruco,/front/aruco_markers,,,,front,camera_front_optical_link,12,1,"[{""id"":12,""x"":-0.0029,""y"":0.0183,""z"":0.1299,""yaw_rad"":-0.0168}]",,,
2026-06-16T21:44:01.828,1781639041.828391,,,aruco,/rear/aruco_markers,,,,rear,camera_rear_optical_link,3|5,2,"[{""id"":3,""x"":0.0181,""y"":-0.017,""z"":0.1698,""yaw_rad"":3.0916},{""id"":5,""x"":-0.0761,""y"":-0.0129,""z"":0.1839,""yaw_rad"":3.0699}]",,,
2026-06-16T21:44:01.910,1781639041.909971,,,aruco,/front/aruco_markers,,,,front,camera_front_optical_link,12,1,"[{""id"":12,""x"":-0.0029,""y"":0.0182,""z"":0.1303,""yaw_rad"":-0.021}]",,,
2026-06-16T21:44:01.913,1781639041.913295,,,aruco,/rear/aruco_markers,,,,rear,camera_rear_optical_link,3|5,2,"[{""id"":3,""x"":0.0181,""y"":-0.0168,""z"":0.1694,""yaw_rad"":3.096},{""id"":5,""x"":-0.0761,""y"":-0.0132,""z"":0.184,""yaw_rad"":3.073}]",,,
2026-06-16T21:44:02.000,1781639042.000580,,,aruco,/front/aruco_markers,,,,front,camera_front_optical_link,12,1,"[{""id"":12,""x"":-0.0029,""y"":0.0181,""z"":0.1297,""yaw_rad"":-0.0189}]",,,
2026-06-16T21:44:02.020,1781639042.020534,,,aruco,/rear/aruco_markers,,,,rear,camera_rear_optical_link,3|5,2,"[{""id"":3,""x"":0.018,""y"":-0.0169,""z"":0.1697,""yaw_rad"":3.0928},{""id"":5,""x"":-0.076,""y"":-0.0129,""z"":0.1838,""yaw_rad"":3.0658}]",,,
2026-06-16T21:44:02.098,1781639042.098619,,,aruco,/front/aruco_markers,,,,front,camera_front_optical_link,12,1,"[{""id"":12,""x"":-0.003,""y"":0.018,""z"":0.1293,""yaw_rad"":-0.0216}]",,,
2026-06-16T21:44:02.122,1781639042.122444,,,aruco,/rear/aruco_markers,,,,rear,camera_rear_optical_link,3|5,2,"[{""id"":3,""x"":0.0182,""y"":-0.0167,""z"":0.1696,""yaw_rad"":3.0969},{""id"":5,""x"":-0.0762,""y"":-0.0131,""z"":0.1841,""yaw_rad"":3.0713}]",,,
2026-06-16T21:44:02.200,1781639042.200860,,,aruco,/front/aruco_markers,,,,front,camera_front_optical_link,12,1,"[{""id"":12,""x"":-0.0029,""y"":0.0181,""z"":0.1297,""yaw_rad"":-0.0207}]",,,
2026-06-16T21:44:02.217,1781639042.217436,,,aruco,/rear/aruco_markers,,,,rear,camera_rear_optical_link,3|5,2,"[{""id"":3,""x"":0.0182,""y"":-0.0171,""z"":0.1701,""yaw_rad"":3.0933},{""id"":5,""x"":-0.076,""y"":-0.013,""z"":0.1838,""yaw_rad"":3.072}]",,,
2026-06-16T21:44:02.298,1781639042.298491,,,aruco,/front/aruco_markers,,,,front,camera_front_optical_link,12,1,"[{""id"":12,""x"":-0.003,""y"":0.018,""z"":0.1297,""yaw_rad"":-0.0208}]",,,
2026-06-16T21:44:02.338,1781639042.338459,,,aruco,/rear/aruco_markers,,,,rear,camera_rear_optical_link,3|5,2,"[{""id"":3,""x"":0.0179,""y"":-0.0171,""z"":0.1696,""yaw_rad"":3.0909},{""id"":5,""x"":-0.0757,""y"":-0.0131,""z"":0.1835,""yaw_rad"":3.0685}]",,,
2026-06-16T21:44:02.400,1781639042.400040,,,aruco,/front/aruco_markers,,,,front,camera_front_optical_link,12,1,"[{""id"":12,""x"":-0.0029,""y"":0.0181,""z"":0.1298,""yaw_rad"":-0.0139}]",,,
2026-06-16T21:44:02.427,1781639042.427390,,,aruco,/rear/aruco_markers,,,,rear,camera_rear_optical_link,3|5,2,"[{""id"":3,""x"":0.0183,""y"":-0.0168,""z"":0.17,""yaw_rad"":3.0957},{""id"":5,""x"":-0.076,""y"":-0.013,""z"":0.1843,""yaw_rad"":3.0722}]",,,
2026-06-16T21:44:02.519,1781639042.518029,,,aruco,/front/aruco_markers,,,,front,camera_front_optical_link,12,1,"[{""id"":12,""x"":-0.003,""y"":0.0182,""z"":0.1296,""yaw_rad"":-0.0153}]",,,
2026-06-16T21:44:02.523,1781639042.523766,,,aruco,/rear/aruco_markers,,,,rear,camera_rear_optical_link,3|5,2,"[{""id"":3,""x"":0.018,""y"":-0.0171,""z"":0.1699,""yaw_rad"":3.092},{""id"":5,""x"":-0.0762,""y"":-0.0129,""z"":0.1844,""yaw_rad"":3.0661}]",,,
2026-06-16T21:44:02.605,1781639042.605759,,,aruco,/front/aruco_markers,,,,front,camera_front_optical_link,12,1,"[{""id"":12,""x"":-0.0029,""y"":0.018,""z"":0.1296,""yaw_rad"":-0.0179}]",,,
2026-06-16T21:44:02.610,1781639042.610435,,,aruco,/rear/aruco_markers,,,,rear,camera_rear_optical_link,3|5,2,"[{""id"":3,""x"":0.0181,""y"":-0.0168,""z"":0.1696,""yaw_rad"":3.0921},{""id"":5,""x"":-0.0758,""y"":-0.0131,""z"":0.1837,""yaw_rad"":3.0686}]",,,
2026-06-16T21:44:02.698,1781639042.698646,,,aruco,/front/aruco_markers,,,,front,camera_front_optical_link,12,1,"[{""id"":12,""x"":-0.003,""y"":0.0182,""z"":0.1301,""yaw_rad"":-0.0211}]",,,
2026-06-16T21:44:02.719,1781639042.719254,,,aruco,/rear/aruco_markers,,,,rear,camera_rear_optical_link,3|5,2,"[{""id"":3,""x"":0.0181,""y"":-0.0168,""z"":0.1694,""yaw_rad"":3.095},{""id"":5,""x"":-0.0757,""y"":-0.0131,""z"":0.1838,""yaw_rad"":3.0686}]",,,
2026-06-16T21:44:02.809,1781639042.809617,,,aruco,/front/aruco_markers,,,,front,camera_front_optical_link,12,1,"[{""id"":12,""x"":-0.0028,""y"":0.0182,""z"":0.1296,""yaw_rad"":-0.0133}]",,,
2026-06-16T21:44:02.825,1781639042.825021,,,aruco,/rear/aruco_markers,,,,rear,camera_rear_optical_link,3|5,2,"[{""id"":3,""x"":0.0182,""y"":-0.0171,""z"":0.1701,""yaw_rad"":3.09},{""id"":5,""x"":-0.076,""y"":-0.0131,""z"":0.1837,""yaw_rad"":3.0741}]",,,
2026-06-16T21:44:02.898,1781639042.898795,,,aruco,/front/aruco_markers,,,,front,camera_front_optical_link,12,1,"[{""id"":12,""x"":-0.0031,""y"":0.0181,""z"":0.1296,""yaw_rad"":-0.022}]",,,
2026-06-16T21:44:02.921,1781639042.921319,,,aruco,/rear/aruco_markers,,,,rear,camera_rear_optical_link,3|5,2,"[{""id"":3,""x"":0.0183,""y"":-0.0168,""z"":0.17,""yaw_rad"":3.0968},{""id"":5,""x"":-0.0759,""y"":-0.013,""z"":0.1837,""yaw_rad"":3.0685}]",,,
