time_ms,angle,fsr_raw,fsr_voltage
960,133,0,0.0000
980,132,1,0.0008
1000,131,0,0.0000
1020,130,1,0.0008
1040,129,1,0.0008
1060,128,1,0.0008
1080,127,3,0.0024
1100,126,1,0.0008
1120,125,2,0.0016
1140,124,1,0.0008
1160,123,3,0.0024
1180,122,1,0.0008
1200,121,2,0.0016
1220,120,0,0.0000
1240,119,2,0.0016
1260,118,1,0.0008
1280,117,0,0.0000
1300,116,2,0.0016
1320,115,2,0.0016
1340,114,0,0.0000
1360,113,3,0.0024
1380,112,1,0.0008
1400,111,2,0.0016
1420,110,1,0.0008
1440,109,2,0.0016
1460,108,1,0.0008
1480,107,1,0.0008
1500,106,0,0.0000
1520,105,2,0.0016
1540,104,0,0.0000
1560,103,2,0.0016
1580,102,3,0.0024
1600,101,0,0.0000
1620,100,1,0.0008
1640,99,1,0.0008
1660,98,2,0.0016
1680,97,1,0.0008
1700,96,1,0.0008
1720,95,3,0.0024
1740,94,1,0.0008
1760,93,2,0.0016
1780,92,0,0.0000
1800,91,0,0.0000
1820,90,0,0.0000
1840,89,0,0.0000
1860,88,3,0.0024
1880,87,3,0.0024
1900,86,1,0.0008
1920,85,4,0.0032
1940,84,0,0.0000
1960,83,0,0.0000
1980,82,0,0.0000
2000,81,0,0.0000
2020,80,24,0.0193
2040,79,0,0.0000
2060,78,1,0.0008
2080,77,21,0.0169
2100,76,2,0.0016
2120,75,0,0.0000
2140,74,7,0.0056
2160,73,1,0.0008
2180,72,6,0.0048
2200,71,0,0.0000
2220,70,8,0.0064
2240,69,18,0.0145
2260,68,3,0.0024
2280,67,0,0.0000
2300,66,8,0.0064
2320,65,0,0.0000
2340,64,1,0.0008
2360,63,0,0.0000
2380,62,1,0.0008
2400,61,2,0.0016
2420,60,1,0.0008
2440,59,0,0.0000
2460,58,3,0.0024
2480,57,1,0.0008
2500,56,1,0.0008
2520,55,9,0.0073
2540,54,0,0.0000
2560,53,1,0.0008
2580,52,0,0.0000
2600,51,0,0.0000
2620,50,2,0.0016
2640,49,3,0.0024
2660,48,0,0.0000
2680,47,1,0.0008
2700,46,0,0.0000
2720,45,0,0.0000
2740,44,0,0.0000
2760,43,0,0.0000
2780,42,0,0.0000
2800,41,0,0.0000
2820,40,6,0.0048
2840,39,16,0.0129
2860,38,5,0.0040
2880,37,0,0.0000
2900,36,0,0.0000
2920,35,3,0.0024
2940,34,2,0.0016
2960,33,0,0.0000
2980,32,9,0.0073
3000,31,9,0.0073
3020,30,0,0.0000
3040,29,1,0.0008
3060,28,1,0.0008
3080,27,0,0.0000
3100,26,7,0.0056
3120,25,1,0.0008
3140,24,18,0.0145
3160,23,2,0.0016
3180,22,5,0.0040
3200,21,4,0.0032
3220,20,3,0.0024
3240,19,3,0.0024
3260,18,1,0.0008
3280,17,25,0.0201
3300,16,3,0.0024
3320,15,21,0.0169
3340,14,6,0.0048
3360,13,24,0.0193
3380,12,7,0.0056
3400,11,29,0.0234
3420,10,2,0.0016
3440,9,24,0.0193
3460,8,39,0.0314
3480,7,20,0.0161
3500,6,43,0.0347
3520,5,19,0.0153
3540,4,43,0.0347
3560,3,7,0.0056
3580,2,38,0.0306
3600,1,8,0.0064
3620,0,23,0.0185
