wall_time,ros_time_sec,run_id,elapsed_sec,event_type,source,label,data
2026-06-17_21-35-11-177738,1781724911.177817,20260617_213451,19.815,physical_status,physical_alignment,side_align_complete,"side_align_left_done | final camera=left ids=[17, 18, 19, 20] target_pair=[18, 19] target_x=+0.3531 target_y=+0.2735 center_x=+0.3553 center_y=+0.5792 yaw=-178.64deg error_x=-0.0029 yaw_error=+1.36deg tolerance_x=0.0060 tolerance_yaw=2.00deg"
2026-06-17_21-35-11-182371,1781724911.182444,20260617_213451,19.820,dropzone_status,dropzone,side_align_complete,"side_align_complete: side_align_left_done | final camera=left ids=[17, 18, 19, 20] target_pair=[18, 19] target_x=+0.3531 target_y=+0.2735 center_x=+0.3553 center_y=+0.5792 yaw=-178.64deg error_x=-0.0029 yaw_error=+1.36deg tolerance_x=0.0060 tolerance_yaw=2.00deg. Optional: check trolley type with ros2 topic pub --once /trolley_command std_msgs/msg/String ""{data: 'check_trolley_type'}"" or approve straight drive with ros2 topic pub --once /trolley_command std_msgs/msg/String ""{data: 'drive_under'}"""
2026-06-17_21-35-16-426110,1781724916.426187,20260617_213451,25.064,command,trolley_command,check_trolley_type,check_trolley_type
2026-06-17_21-35-16-430026,1781724916.430105,20260617_213451,25.068,dropzone_status,dropzone,status,trolley_type_unknown_live_yolo. No current non-empty /Yolov8_Inference detection in the last 90.0s; not using image-file fallback. YOLO is still enabled; wait a moment and send check_trolley_type again.
2026-06-17_21-37-01-323096,1781725021.323181,20260617_213451,129.961,command,trolley_command,drive_under,drive_under
2026-06-17_21-37-01-326533,1781725021.326598,20260617_213451,129.964,dropzone_status,dropzone,status,drive_under_active via drive_straight_under. Waiting for drive_straight_under_done.
2026-06-17_21-37-01-332058,1781725021.332138,20260617_213451,129.970,physical_status,physical_alignment,status,drive_straight_under_started
2026-06-17_21-37-10-578370,1781725030.578467,20260617_213451,139.216,physical_status,physical_alignment,fine_first_aruko,"fine_first_estimate | ids=[5, 10] center_x=+0.1502 center_y=-0.0444 yaw=-161.93deg orientation=flipped_180 error_x=+0.0132 error_y=-0.0482 yaw_error=+33.07deg target_x=+0.1370 target_y=+0.0038"
2026-06-17_21-37-10-583044,1781725030.583120,20260617_213451,139.221,physical_status,physical_alignment,under_trolley,drive_straight_under_done
2026-06-17_21-37-10-586494,1781725030.586580,20260617_213451,139.225,dropzone_status,dropzone,under_trolley,"under_trolley. Inspect position, then approve final ArUco alignment with: ros2 topic pub --once /trolley_command std_msgs/msg/String ""{data: 'fine_align'}"""
2026-06-17_21-37-18-107145,1781725038.107233,20260617_213451,146.745,dropzone_status,dropzone,status,fine_aligning via fine_align_under. Waiting for fine_align_under_done.
2026-06-17_21-37-18-108336,1781725038.108378,20260617_213451,146.746,physical_status,physical_alignment,status,front_rear_camera_switch_started
2026-06-17_21-37-18-207945,1781725038.208036,20260617_213451,146.846,command,trolley_command,fine_align,fine_align
2026-06-17_21-37-19-677182,1781725039.677272,20260617_213451,148.315,physical_status,physical_alignment,status,fine_align_under_started
2026-06-17_21-37-33-588764,1781725053.589002,20260617_213451,162.227,physical_status,physical_alignment,fine_align_complete,"fine_align_under_done | final ids=[3, 12] center_x=+0.1403 center_y=-0.0011 yaw=+163.90deg orientation=flipped_180 error_x=+0.0033 error_y=-0.0049 yaw_error=-1.10deg target_x=+0.1370 target_y=+0.0038 tolerance_x=0.0040 tolerance_y=0.0100 tolerance_yaw=3.00deg"
2026-06-17_21-37-33-591815,1781725053.591903,20260617_213451,162.230,dropzone_status,dropzone,fine_align_complete,"fine_align_complete: fine_align_under_done | final ids=[3, 12] center_x=+0.1403 center_y=-0.0011 yaw=+163.90deg orientation=flipped_180 error_x=+0.0033 error_y=-0.0049 yaw_error=-1.10deg target_x=+0.1370 target_y=+0.0038 tolerance_x=0.0040 tolerance_y=0.0100 tolerance_yaw=3.00deg. Trolley type unknown; send check_trolley_type or manually send laundry_trolley/trash_trolley before deliver_trolley."
2026-06-17_21-38-11-113855,1781725091.114101,20260617_213451,199.752,manual_mark,operator,sucessfull_dock,
2026-06-17_21-38-27-850416,1781725107.850506,20260617_213451,216.488,run_end,logger,manual_end,
2026-06-17_21-39-20-986508,1781725160.986536,20260617_213920,0.000,run_start,logger,command_trolley_ready,
2026-06-17_21-39-20-987967,1781725160.988018,20260617_213920,0.002,command,trolley_command,trolley_ready,trolley_ready
